    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -98.000000000       -98.000000000       -98.000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
0.46400000000E-01   0.46400000000E-01   -.13000000000E-03   0.15036595549E-04   0.15036595549E-04    0.0000000000        0.0000000000        0.0000000000       -100.80783911       -98.000000000       -98.000000000        0.0000000000        0.0000000000        0.0000000000        8633.5307735        10702.893518        1.0397961493       -.10884028871        5.7095485071       -65.690243465       0.83639457161        0.0000000000       -.28017241379E-02   0.32406455925E-03   0.32406455925E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.28389599895E-02    1.0000000000       -36.052185235       
0.51040000000       0.51040000000       -.14300000000E-02   0.16540255104E-03   0.16540255104E-03    0.0000000000        0.0000000000        0.0000000000       -130.40419657       -98.000000000       -98.000000000        0.0000000000        0.0000000000        0.0000000000        9494.4280588        11770.138451        1.0377587624       -.11087767559        5.7095485071       -65.690243465       0.82659318430        0.0000000000       -.28017241379E-02   0.32406455925E-03   0.32406455925E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.31228559885E-01    11.000000000       -36.052185235       
0.97440000000       0.97440000000       -.27300000000E-02   0.38924296978E-03   0.38924296978E-03    0.0000000000        0.0000000000        0.0000000000       -152.64988458       -98.000000000       -98.000000000        0.0000000000        0.0000000000        0.0000000000        11453.604878        11080.953777        1.0360409074       -.10875102840        5.7112217280       -75.003117390       0.83661891525        1.0000000000       -.27437630576E-02   0.57573307591E-03   0.57573307591E-03    0.0000000000        0.0000000000        0.0000000000       -.32558734122E-03   0.10504052460E-03   0.10504052460E-03    0.0000000000        0.0000000000        0.0000000000       0.60102472775E-01    21.000000000       -36.052185235       
 1.4384000000        1.4384000000       -.40300000000E-02   0.68926895609E-03   0.68926895609E-03    0.0000000000        0.0000000000        0.0000000000       -170.68219114       -98.000000000       -98.000000000        0.0000000000        0.0000000000        0.0000000000        12057.317153        11662.818639        1.0346118301       -.10485207899        5.7135468607       -90.130040624       0.85515198603        1.0000000000       -.27266170412E-02   0.67648708370E-03   0.67648708370E-03    0.0000000000        0.0000000000        0.0000000000       -.93966774346E-03   0.32576975573E-03   0.32576975573E-03    0.0000000000        0.0000000000        0.0000000000       0.89577180948E-01    31.000000000       -36.052185235       
 1.9024000000        1.9024000000       -.53300000000E-02   0.10393332551E-02   0.10393332551E-02    0.0000000000        0.0000000000        0.0000000000       -187.16651245       -98.000000000       -98.000000000        0.0000000000        0.0000000000        0.0000000000        12610.143007        12195.361724        1.0333880451       -.10169871211        5.7157289936       -104.81403844       0.87012624220        1.0000000000       -.27026960300E-02   0.77429413568E-03   0.77429413568E-03    0.0000000000        0.0000000000        0.0000000000       -.16418378417E-02   0.60675236804E-03   0.60675236804E-03    0.0000000000        0.0000000000        0.0000000000       0.11956002575        41.000000000       -36.052185235       
 2.3664000000        2.3664000000       -.66300000000E-02   0.14384487899E-02   0.14384487899E-02    0.0000000000        0.0000000000        0.0000000000       -202.23212454       -98.000000000       -98.000000000        0.0000000000        0.0000000000        0.0000000000        13116.648204        12682.890923        1.0323656249       -.99069737078E-01    5.7179377653       -118.87778059       0.88258405318        1.0000000000       -.26764234342E-02   0.86590171856E-03   0.86590171856E-03    0.0000000000        0.0000000000        0.0000000000       -.24178138978E-02   0.94534295614E-03   0.94534295614E-03    0.0000000000        0.0000000000        0.0000000000       0.15010655929        51.000000000       -36.052185235       
 2.8304000000        2.8304000000       -.79300000000E-02   0.18842674913E-02   0.18842674913E-02    0.0000000000        0.0000000000        0.0000000000       -216.02371639       -98.000000000       -98.000000000        0.0000000000        0.0000000000        0.0000000000        13581.589615        13130.012042        1.0315347463       -.96814364747E-01    5.7201932506       -132.22655314       0.89324690720        1.0000000000       -.26501680975E-02   0.95000208916E-03   0.95000208916E-03    0.0000000000        0.0000000000        0.0000000000       -.32554481787E-02   0.13377838231E-02   0.13377838231E-02    0.0000000000        0.0000000000        0.0000000000       0.18124699238        61.000000000       -36.052185235       
 3.2944000000        3.2944000000       -.92300000000E-02   0.23737936264E-02   0.23737936264E-02    0.0000000000        0.0000000000        0.0000000000       -228.68109190       -98.000000000       -98.000000000        0.0000000000        0.0000000000        0.0000000000        14009.482908        13541.128161        1.0308827608       -.94828582665E-01    5.7224787211       -144.81731898       0.90261580196        1.0000000000       -.26252737350E-02   0.10264447500E-02   0.10264447500E-02    0.0000000000        0.0000000000        0.0000000000       -.41447519654E-02   0.17799201120E-02   0.17799201120E-02    0.0000000000        0.0000000000        0.0000000000       0.21299100450        71.000000000       -36.052185235       
 3.7584000000        3.7584000000       -.10530000000E-01   0.29038079120E-02   0.29038079120E-02    0.0000000000        0.0000000000        0.0000000000       -240.33103687       -98.000000000       -98.000000000        0.0000000000        0.0000000000        0.0000000000        14404.397687        13920.217667        1.0303960557       -.93039661611E-01    5.7247700414       -156.63873434       0.91104230871        1.0000000000       -.26024472787E-02   0.10956547293E-02   0.10956547293E-02    0.0000000000        0.0000000000        0.0000000000       -.50776211902E-02   0.22675920489E-02   0.22675920489E-02    0.0000000000        0.0000000000        0.0000000000       0.24533308040        81.000000000       -36.052185235       
