    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -100.25000000       -90.225000000       -90.225000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
0.12500000000E-03   0.12500000000E-03    0.0000000000        0.0000000000        0.0000000000       0.11313141436E-06    0.0000000000        0.0000000000       -100.24999342       -90.224999257       -90.224999257       0.78539810284E-02    0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52956212691E-01    3.4000000000       -37.224327370        1.3685676842        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.90505131491E-03    0.0000000000        0.0000000000       -.39818441259E-10   0.22292174710E-11   0.22292174710E-11   0.65883632174E-13    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.224327370        0.0000000000       
0.63750000000E-02   0.63750000000E-02    0.0000000000        0.0000000000        0.0000000000       0.57736636708E-05    0.0000000000        0.0000000000       -100.23382581       -90.223168212       -90.223168212       0.40044597249        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52956428892E-01    3.4000000000       -37.224710607        1.3685673518        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.90687960298E-03    0.0000000000        0.0000000000       -.97853329505E-07   0.54430081944E-08   0.54430081944E-08   0.55070254280E-08    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.224710607       0.39486542408E-01   
0.12625000000E-01   0.12625000000E-01    0.0000000000        0.0000000000        0.0000000000       0.11457038545E-04    0.0000000000        0.0000000000       -100.18660708       -90.217743076       -90.217743076       0.79242050528        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52957059277E-01    3.4000000000       -37.225828048        1.3685663824        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.91228751835E-03    0.0000000000        0.0000000000       -.38337970404E-06   0.20921055536E-07   0.20921055536E-07   0.42750682075E-07    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.225828048       0.78749830606E-01   
0.18875000000E-01   0.18875000000E-01    0.0000000000        0.0000000000        0.0000000000       0.17185579289E-04    0.0000000000        0.0000000000       -100.10845929       -90.208510448       -90.208510448        1.1831731831        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52958099154E-01    3.4000000000       -37.227671440        1.3685647834        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.92125716961E-03    0.0000000000        0.0000000000       -.85545351956E-06   0.45185684687E-07   0.45185684687E-07   0.14276021355E-06    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.227671440       0.11757291106       
0.25125000000E-01   0.25125000000E-01    0.0000000000        0.0000000000        0.0000000000       0.22981442662E-04    0.0000000000        0.0000000000       -99.999595179       -90.195119514       -90.195119514        1.5721014936        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52959540664E-01    3.4000000000       -37.230226959        1.3685625668        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.93375217267E-03    0.0000000000        0.0000000000       -.15120833019E-05   0.76169542688E-07   0.76169542688E-07   0.33637116575E-06    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.230226959       0.15575079965       
0.31375000000E-01   0.31375000000E-01    0.0000000000        0.0000000000        0.0000000000       0.28866473174E-04    0.0000000000        0.0000000000       -99.860333582       -90.177087112       -90.177087112        1.9586057376        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52961372664E-01    3.4000000000       -37.233474996        1.3685597497        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.94970754284E-03    0.0000000000        0.0000000000       -.23503645310E-05   0.11100108397E-06   0.11100108397E-06   0.65406631553E-06    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.233474996       0.19309500457       
0.37625000000E-01   0.37625000000E-01    0.0000000000        0.0000000000        0.0000000000       0.34861981280E-04    0.0000000000        0.0000000000       -99.691120855       -90.153806038       -90.153806038        2.3420899535        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52963580575E-01    3.4000000000       -37.237389878        1.3685563545        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.96901553759E-03    0.0000000000        0.0000000000       -.33663609522E-05   0.14602863727E-06   0.14602863727E-06   0.11257405457E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.237389878       0.22943659428       
0.43875000000E-01   0.43875000000E-01    0.0000000000        0.0000000000        0.0000000000       0.41773164020E-04    0.0000000000        0.0000000000       -99.255730660       -90.093883310       -90.093883310        2.7219628364        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85199785732       0.52966924232E-01    3.4000000000       -37.247119578        1.3265515883        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.10387215925E-02    0.0000000000        0.0000000000       -.59805178075E-05   0.23605076607E-06   0.23605076607E-06   0.25651082476E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.247119578       0.26947591774       
0.50125000000E-01   0.50125000000E-01    0.0000000000        0.0000000000        0.0000000000       0.48405564342E-04    0.0000000000        0.0000000000       -98.947919746       -90.048576509       -90.048576509        3.0976386499        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85199722247       0.52970079020E-01    3.4000000000       -37.253841761        1.3144344419        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.10841011820E-02    0.0000000000        0.0000000000       -.78231379251E-05   0.28402881507E-06   0.28402881507E-06   0.37861495119E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.253841761       0.30568856848       
0.56375000000E-01   0.56375000000E-01    0.0000000000        0.0000000000        0.0000000000       0.55348572181E-04    0.0000000000        0.0000000000       -98.596873726       -89.993156886       -89.993156886        3.4685381292        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85199651188       0.52973590247E-01    3.4000000000       -37.261331975        1.3011091232        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.11380882583E-02    0.0000000000        0.0000000000       -.99175285999E-05   0.31878849346E-06   0.31878849346E-06   0.53865981967E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.261331975       0.34108016844       
