    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -20.000000000       -12.000000000       -12.000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
0.12500000000E-03   0.12500000000E-03    0.0000000000        0.0000000000        0.0000000000       0.82131290228E-06    0.0000000000        0.0000000000       -16.136929915       -11.416709386       -11.416709386       0.78539810285E-02    0.0000000000        0.0000000000        14491.802907        15871.974613       0.81679583774       -.20071400749E-01    4.2000000000       -6.4154672768        1.2337630351        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.65705032182E-02    0.0000000000        0.0000000000       -.11023634908E-03   0.41228705785E-05   0.41228705785E-05   0.34028991276E-06    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -5.5574320913       
0.63750000000E-02   0.63750000000E-02    0.0000000000        0.0000000000        0.0000000000       0.28070486435E-04    0.0000000000        0.0000000000       -16.101027896       -11.416524445       -11.416524445       0.40044597249        0.0000000000        0.0000000000        14491.802907        15871.974613       0.81679583774       -.19173052029E-01    4.2000000000       -6.4149056915        1.2353848968        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.44069005066E-02    0.0000000000        0.0000000000       -.11130733296E-03   0.42951637475E-05   0.42951637475E-05   0.50013038717E-06    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -5.5574320913       
0.12625000000E-01   0.12625000000E-01    0.0000000000        0.0000000000        0.0000000000       0.56235853638E-04    0.0000000000        0.0000000000       -15.981022191       -11.417427033       -11.417427033       0.79242050528        0.0000000000        0.0000000000        14491.802907        15871.974613       0.81679583774       -.19178617147E-01    4.2000000000       -6.4132059309        1.2353748496        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.46288499208E-02    0.0000000000        0.0000000000       -.11491586423E-03   0.48582422146E-05   0.48582422146E-05   0.16174800110E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -5.5574320913       
0.18875000000E-01   0.18875000000E-01    0.0000000000        0.0000000000        0.0000000000       0.94708459122E-03    0.0000000000        0.0000000000       -15.608084783       -11.446358342       -11.446358342        1.0347716090        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.19508377000E-01    4.2000000000       -6.3132868793        1.2347795074        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.45416073071E-02    0.0000000000        0.0000000000       -.25475869195E-02   0.35451924950E-03   0.35451924950E-03   0.14311020457E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.25125000000E-01   0.25125000000E-01    0.0000000000        0.0000000000        0.0000000000       0.98589507254E-03    0.0000000000        0.0000000000       -15.228081400       -11.450805830       -11.450805830        1.4236999195        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.19521468059E-01    4.2000000000       -6.3093525052        1.1844254618        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.67093099165E-02    0.0000000000        0.0000000000       -.25601898010E-02   0.35623632202E-03   0.35623632202E-03   0.14400395472E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.31375000000E-01   0.31375000000E-01    0.0000000000        0.0000000000        0.0000000000       0.10342875554E-02    0.0000000000        0.0000000000       -14.684003150       -11.436110748       -11.436110748        1.8102041635        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.19545809238E-01    4.2000000000       -6.3020435476        1.1497221777        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.90157576649E-02    0.0000000000        0.0000000000       -.25780900349E-02   0.35826794026E-03   0.35826794026E-03   0.14586382874E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.37625000000E-01   0.37625000000E-01    0.0000000000        0.0000000000        0.0000000000       0.11056527806E-02    0.0000000000        0.0000000000       -13.844845657       -11.366107866       -11.366107866        2.1936883793        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.19594422820E-01    4.2000000000       -6.2874716155        1.1016655270        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.14680693515E-01    0.0000000000        0.0000000000       -.26053491574E-02   0.36017566459E-03   0.36017566459E-03   0.15001466037E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.43875000000E-01   0.43875000000E-01    0.0000000000        0.0000000000        0.0000000000       0.27786870937E-02    0.0000000000        0.0000000000       -12.413304346       -11.093039767       -11.093039767        2.1271744454        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.21044349920E-01    4.2000000000       -5.8680059447        1.0464405439        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.11577417634E-01    0.0000000000        0.0000000000       -.39103243256E-02   0.23328148846E-03   0.23328148846E-03   0.51831168528E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.50125000000E-01   0.50125000000E-01    0.0000000000        0.0000000000        0.0000000000       0.64620229055E-02    0.0000000000        0.0000000000       -11.093600341       -10.588723937       -10.588723937        1.7803210315        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.23235163546E-01    4.2000000000       -5.2866798169        1.0029163904        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.31941663877E-01    0.0000000000        0.0000000000       -.53868868732E-02   -.42074646372E-04   -.42074646372E-04   0.97914104782E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
0.56375000000E-01   0.56375000000E-01    0.0000000000        0.0000000000        0.0000000000       0.67177876184E-02    0.0000000000        0.0000000000       -9.5602213686       -9.4558338916       -9.4558338916        2.1512205096        0.0000000000        0.0000000000        13738.181711        15046.579970       0.81679583774       -.23487554552E-01    4.2000000000       -5.2235215227       0.97489846306        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.51389625525E-01    0.0000000000        0.0000000000       -.54250337249E-02   -.65522528869E-04   -.65522528869E-04   0.10019864695E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -6.3132868793       
