    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -100.25000000       -90.225000000       -90.225000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
0.25000000000E-03   0.25000000000E-03    0.0000000000        0.0000000000        0.0000000000       0.19549908221E-06    0.0000000000        0.0000000000       -100.25000000       -90.225000000       -90.225000000       0.15707958423E-01    0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.53284093790E-01    3.9350209885       -37.810086088        1.3543909269        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.78199632882E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.55295490697E-03    1.0000000000       -37.224327370       
0.12750000000E-01   0.12750000000E-01    0.0000000000        0.0000000000        0.0000000000       0.99599579399E-05    0.0000000000        0.0000000000       -100.25000000       -90.225000000       -90.225000000       0.80024960602        0.0000000000        0.0000000000        80344.180145        87996.006825       0.85200000000       0.53283980312E-01    3.9348343715       -37.809881774        1.3543959387        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.78117317176E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.28171015199E-01    51.000000000       -37.224327370       
0.25250000000E-01   0.25250000000E-01    0.0000000000        0.0000000000        0.0000000000       0.19664093785E-04    0.0000000000        0.0000000000       -100.25000000       -90.225000000       -90.225000000        1.5798574487        0.0000000000        0.0000000000        80297.416871        87944.789906       0.85200000000       0.53282587626E-01    3.9325441529       -37.807374367        1.3544574413        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.77114143403E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.54527933726E-01    101.00000000       -37.224327370       
0.37750000000E-01   0.37750000000E-01    0.0000000000        0.0000000000        0.0000000000       0.29252073085E-04    0.0000000000        0.0000000000       -100.25000000       -90.225000000       -90.225000000        2.3497249448        0.0000000000        0.0000000000        80288.873011        87935.432345       0.85200000000       0.53282333166E-01    3.9321257197       -37.806916252        1.3544686773        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.76932255834E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.54399319792E-01    151.00000000       -37.224327370       
0.50250000000E-01   0.50250000000E-01    0.0000000000        0.0000000000        0.0000000000       0.38662044810E-04    0.0000000000        0.0000000000       -100.25000000       -90.225000000       -90.225000000        3.1051056053        0.0000000000        0.0000000000        80256.755734        87900.256280       0.85200000000       0.53281376596E-01    3.9305527848       -37.805194151        1.3100108030        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.76252350328E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.53918553999E-01    201.00000000       -37.224327370       
0.62750000000E-01   0.62750000000E-01    0.0000000000        0.0000000000        0.0000000000       0.50705586911E-04    0.0000000000        0.0000000000       -99.636658051       -90.150439432       -90.150439432        3.8413422572        0.0000000000        0.0000000000        80252.244306        87895.315192       0.85200000000       0.53280660101E-01    3.9303318388       -37.803904305        1.2873244961        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.84607239773E-03    0.0000000000        0.0000000000       -.33089495051E-05   0.84686207650E-07   0.84686207650E-07   0.24675595139E-05    0.0000000000        0.0000000000       0.59826352981E-01    251.00000000       -37.224327370       
0.75250000000E-01   0.75250000000E-01    0.0000000000        0.0000000000        0.0000000000       0.64585776472E-04    0.0000000000        0.0000000000       -98.755222039       -90.020967176       -90.020967176        4.5538957567        0.0000000000        0.0000000000        80252.244306        87895.315192       0.85200000000       0.53279479552E-01    3.9303318388       -37.801779156        1.2602674419        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.95264444783E-03    0.0000000000        0.0000000000       -.80670286652E-05   0.11365598852E-06   0.11365598852E-06   0.69024879530E-05    0.0000000000        0.0000000000       0.67362134912E-01    301.00000000       -37.224327370       
0.87750000000E-01   0.87750000000E-01    0.0000000000        0.0000000000        0.0000000000       0.80319703318E-04    0.0000000000        0.0000000000       -97.697936881       -89.828995324       -89.828995324        5.2383729745        0.0000000000        0.0000000000        80252.244306        87895.315192       0.85200000000       0.53277483338E-01    3.9303318388       -37.798185973        1.2305001250        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.10762815060E-02    0.0000000000        0.0000000000       -.13746742708E-04   -.11089576361E-07   -.11089576361E-07   0.13485671740E-04    0.0000000000        0.0000000000       0.76104595137E-01    351.00000000       -37.224327370       
0.10025000000       0.10025000000        0.0000000000        0.0000000000        0.0000000000       0.98349219412E-04    0.0000000000        0.0000000000       -96.468647559       -89.551627100       -89.551627100        5.8905538810        0.0000000000        0.0000000000        80252.244306        87895.315192       0.85200000000       0.53274268419E-01    3.9303318388       -37.792399839        1.1995090635        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.12241798787E-02    0.0000000000        0.0000000000       -.20273044566E-04   -.39892803899E-06   -.39892803899E-06   0.22766733189E-04    0.0000000000        0.0000000000       0.86562589360E-01    401.00000000       -37.224327370       
0.11275000000       0.11275000000        0.0000000000        0.0000000000        0.0000000000       0.11900573082E-03    0.0000000000        0.0000000000       -95.089997903       -89.165124526       -89.165124526        6.5064175640        0.0000000000        0.0000000000        80252.244306        87895.315192       0.85200000000       0.53269341915E-01    3.9303318388       -37.783534954        1.1692528863        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.13969317699E-02    0.0000000000        0.0000000000       -.27452979321E-04   -.11769737801E-05   -.11769737801E-05   0.35179980581E-04    0.0000000000        0.0000000000       0.98777992734E-01    451.00000000       -37.224327370       
0.12525000000       0.12525000000        0.0000000000        0.0000000000        0.0000000000       0.14224419631E-03    0.0000000000        0.0000000000       -93.614622523       -88.655457740       -88.655457740        7.0821670192        0.0000000000        0.0000000000        80252.244306        87895.315192       0.85200000000       0.53262233735E-01    3.9303318388       -37.770747967        1.1419127636        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.15825936191E-02    0.0000000000        0.0000000000       -.34939696859E-04   -.24478294045E-05   -.24478294045E-05   0.50766680445E-04    0.0000000000        0.0000000000       0.11190626799        501.00000000       -37.224327370       
