    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -500.00000000       -500.00000000       -500.00000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 100.00000000        100.00000000       -.25000000000E-04   -.42534552748E-07   -.42534552748E-07    0.0000000000        0.0000000000        0.0000000000       -500.01477865       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.85195354303       0.86460984132E-01    3.4000000000       -183.94559830        1.3170467659        1.0000000000       -.25000000000E-06   -.42534552748E-09   -.42534552748E-09    0.0000000000        0.0000000000        0.0000000000       -.46187873170E-05   -.41622818255E-05   -.41622818255E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -183.94696386       0.17830390378E-02   0.25699059677E-01   
 1100.0000000        1100.0000000       -.27500000000E-03   0.16077919369E-04   0.16077919369E-04    0.0000000000        0.0000000000        0.0000000000       -507.86870166       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.85155030283       0.86416545844E-01    3.4000000000       -187.11545973        1.3171150995        1.0000000000       -.25000000000E-06   0.16377828092E-07   0.16377828092E-07    0.0000000000        0.0000000000        0.0000000000       -.20686005817E-03   0.47943627247E-05   0.47943627247E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -187.11547794       0.18355441132E-05   0.35104889109E-03   
 2100.0000000        2100.0000000       -.52500000000E-03   0.32766427074E-04   0.32766427074E-04    0.0000000000        0.0000000000        0.0000000000       -515.43490561       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.85114925357       0.86358139989E-01    3.4000000000       -190.19354480        1.3172049113        1.0000000000       -.25000000000E-06   0.16941077322E-07   0.16941077322E-07    0.0000000000        0.0000000000        0.0000000000       -.41085091280E-03   0.14581498623E-04   0.14581498623E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -190.19358038       0.17551029097E-05   0.70320994837E-03   
 3100.0000000        3100.0000000       -.77500000000E-03   0.50012159067E-04   0.50012159067E-04    0.0000000000        0.0000000000        0.0000000000       -522.72588479       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.85075035379       0.86286647823E-01    3.4000000000       -193.18205785        1.3173148461        1.0000000000       -.25000000000E-06   0.17493316582E-07   0.17493316582E-07    0.0000000000        0.0000000000        0.0000000000       -.61651537508E-03   0.25176899958E-04   0.25176899958E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.18210911       0.16785034087E-05   0.10387548880E-02   
 4100.0000000        4100.0000000       -.10250000000E-02   0.67803919182E-04   0.67803919182E-04    0.0000000000        0.0000000000        0.0000000000       -529.75358112       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.85035356070       0.86202886997E-01    3.4000000000       -196.08325656        1.3174436467        1.0000000000       -.25000000000E-06   0.18034220592E-07   0.18034220592E-07    0.0000000000        0.0000000000        0.0000000000       -.82378082761E-03   0.36558477954E-04   0.36558477954E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -196.08332193       0.16055725178E-05   0.13585450298E-02   
 5100.0000000        5100.0000000       -.12750000000E-02   0.86130232560E-04   0.86130232560E-04    0.0000000000        0.0000000000        0.0000000000       -536.52940475       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84995883053       0.86107616759E-01    3.4000000000       -198.89943482        1.3175901455        1.0000000000       -.25000000000E-06   0.18563547225E-07   0.18563547225E-07    0.0000000000        0.0000000000        0.0000000000       -.10325778867E-02   0.48704350198E-04   0.48704350198E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -198.89951282       0.15361416605E-05   0.16634020838E-02   
 6100.0000000        6100.0000000       -.15250000000E-02   0.10497942330E-03   0.10497942330E-03    0.0000000000        0.0000000000        0.0000000000       -543.06425456       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84956611879       0.86001542663E-01    3.4000000000       -201.63290772        1.3177532577        1.0000000000       -.25000000000E-06   0.19081127651E-07   0.19081127651E-07    0.0000000000        0.0000000000        0.0000000000       -.12428402777E-02   0.61592899578E-04   0.61592899578E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -201.63299702       0.14700472168E-05   0.19541086647E-02   
 7100.0000000        7100.0000000       -.17750000000E-02   0.12433968279E-03   0.12433968279E-03    0.0000000000        0.0000000000        0.0000000000       -549.36853854       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84917538057       0.85885320872E-01    3.4000000000       -204.28599871        1.3179319741        1.0000000000       -.25000000000E-06   0.19586857442E-07   0.19586857442E-07    0.0000000000        0.0000000000        0.0000000000       -.14545047108E-02   0.75202824035E-04   0.75202824035E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -204.28609805       0.14071308634E-05   0.22314090747E-02   
 8100.0000000        8100.0000000       -.20250000000E-02   0.14419912963E-03   0.14419912963E-03    0.0000000000        0.0000000000        0.0000000000       -555.45219386       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84878657072       0.85759562075E-01    3.4000000000       -206.86102834        1.3181253558        1.0000000000       -.25000000000E-06   0.20080688546E-07   0.20080688546E-07    0.0000000000        0.0000000000        0.0000000000       -.16675107593E-02   0.89513178149E-04   0.89513178149E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -206.86113658       0.13472398235E-05   0.24960102830E-02   
 9100.0000000        9100.0000000       -.22750000000E-02   0.16454586196E-03   0.16454586196E-03    0.0000000000        0.0000000000        0.0000000000       -561.32470666       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84839964406       0.85624835051E-01    3.4000000000       -209.36030476        1.3183325281        1.0000000000       -.25000000000E-06   0.20562622078E-07   0.20562622078E-07    0.0000000000        0.0000000000        0.0000000000       -.18818007392E-02   0.10450340748E-03   0.10450340748E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -209.36042084       0.12902270362E-05   0.27485830674E-02   
 10100.000000        10100.000000       -.25250000000E-02   0.18536800303E-03   0.18536800303E-03    0.0000000000        0.0000000000        0.0000000000       -566.99513131       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84801455553       0.85481669936E-01    3.4000000000       -211.78611553        1.3185526758        1.0000000000       -.25000000000E-06   0.21032701834E-07   0.21032701834E-07    0.0000000000        0.0000000000        0.0000000000       -.20973195921E-02   0.12015337647E-03   0.12015337647E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -211.78623849       0.12359512547E-05   0.29897632638E-02   
 11100.000000        11100.000000       -.27750000000E-02   0.20665374062E-03   0.20665374062E-03    0.0000000000        0.0000000000        0.0000000000       -572.47210931       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84763126037       0.85330561198E-01    3.4000000000       -214.14072072        1.3187850385        1.0000000000       -.25000000000E-06   0.21491008498E-07   0.21491008498E-07    0.0000000000        0.0000000000        0.0000000000       -.23140147699E-02   0.13644339073E-03   0.13644339073E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -214.14084967       0.11842770849E-05   0.32201530978E-02   
 12100.000000        12100.000000       -.30250000000E-02   0.22839136102E-03   0.22839136102E-03    0.0000000000        0.0000000000        0.0000000000       -577.76388758       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84724971423       0.85171970363E-01    3.4000000000       -216.42634715        1.3190289066        1.0000000000       -.25000000000E-06   0.21937654443E-07   0.21937654443E-07    0.0000000000        0.0000000000        0.0000000000       -.25318361243E-02   0.15335421430E-03   0.15335421430E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -216.42648129       0.11350749710E-05   0.34403225671E-02   
 13100.000000        13100.000000       -.32750000000E-02   0.25056927815E-03   0.25056927815E-03    0.0000000000        0.0000000000        0.0000000000       -582.87833619       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84686987326       0.85006328509E-01    3.4000000000       -218.64518361        1.3192836172        1.0000000000       -.25000000000E-06   0.22372779102E-07   0.22372779102E-07    0.0000000000        0.0000000000        0.0000000000       -.27507357983E-02   0.17086708253E-03   0.17086708253E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -218.64532220       0.10882211387E-05   0.36508108473E-02   
 14100.000000        14100.000000       -.35250000000E-02   0.27317605829E-03   0.27317605829E-03    0.0000000000        0.0000000000        0.0000000000       -587.82296552       -500.00183673       -500.00183673        0.0000000000        0.0000000000        0.0000000000        71500.000000        78309.523810       0.84649169421       0.84834038550E-01    3.4000000000       -220.79937689        1.3195485508        1.0000000000       -.25000000000E-06   0.22796544837E-07   0.22796544837E-07    0.0000000000        0.0000000000        0.0000000000       -.29706681223E-02   0.18896371126E-03   0.18896371126E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -220.79951925       0.10435975011E-05   0.38521277101E-02   
