ep1,epV,p,q,e,pimg / p,pmx / p,psi,Dp,eta
0,0,500,0,0.853303831,0.367879441,0.789243255,0.108,1.316060926,0
0.011842968,0.000568441,494.3155888,12.23922979,0.853293296,0.374866124,0.789243252,0.108,1.316060924,0.024759951
0.023330587,0.001123729,488.7626812,23.6761273,0.853283005,0.381674814,0.788904363,0.107750844,1.291080417,0.048440947
0.034489819,0.001666462,483.3352853,34.37498304,0.853272946,0.388313441,0.788598289,0.107504787,1.267200203,0.071120367
0.045344869,0.002197198,478.0278419,44.39334988,0.85326311,0.394789348,0.788322518,0.107261689,1.244341274,0.092867708
0.055917541,0.002716452,472.8351811,53.78293233,0.853253487,0.401109356,0.788074802,0.107021419,1.222432676,0.113745623
0.066227543,0.003224708,467.7524833,62.59033411,0.853244067,0.407279819,0.787853122,0.106783856,1.201410442,0.1338108
0.076292745,0.003722416,462.7752469,70.8576902,0.853234843,0.413306676,0.787655655,0.106548887,1.181216702,0.153114694
0.086129395,0.004209997,457.8992584,78.62320447,0.853225807,0.419195483,0.787480754,0.106316405,1.161798931,0.171704153
0.095752306,0.004687846,453.1205671,85.92160906,0.853216951,0.424951457,0.787326923,0.106086312,1.143109308,0.189621958
0.105175019,0.005156334,448.4354621,92.78455914,0.853208268,0.430579506,0.7871928,0.105858514,1.12510417,0.206907274
0.114409941,0.005615812,443.840452,99.24097334,0.853199753,0.436084252,0.787077145,0.105632925,1.107743541,0.223596053
0.123468464,0.006066607,439.3322474,105.3173289,0.853191398,0.441470059,0.78697882,0.105409461,1.090990734,0.239721372
0.132361071,0.00650903,434.907744,111.0379184,0.853183199,0.446741054,0.786896785,0.105188044,1.074811994,0.25531373
0.141097429,0.006943375,430.5640089,116.4250737,0.853175149,0.451901143,0.786830083,0.104968603,1.059176197,0.270401314
0.149686466,0.00736992,426.2982669,121.4993631,0.853167244,0.456954034,0.786777831,0.104751066,1.044054585,0.28501022
0.158136447,0.007788927,422.1078896,126.2797631,0.853159479,0.461903247,0.786739219,0.104535368,1.029420532,0.29916466
0.16645503,0.008200645,417.9903837,130.7838117,0.853151848,0.466752127,0.786713493,0.104321446,1.01524934,0.31288713
0.174649328,0.008605312,413.9433826,135.027743,0.853144348,0.471503861,0.786699959,0.104109241,1.001518054,0.326198578
0.182725953,0.009003153,409.9646367,139.0266066,0.853136975,0.476161486,0.78669797,0.103898697,0.988205311,0.339118534
0.190691066,0.00939438,406.0520058,142.7943745,0.853129725,0.480727898,0.786706927,0.103689759,0.975291189,0.351665236
0.198550407,0.0097792,402.2034518,146.344036,0.853122593,0.485205866,0.786726274,0.103482377,0.962757086,0.363855743
0.206309341,0.010157805,398.4170322,149.6876822,0.853115576,0.489598035,0.786755489,0.1032765,0.950585605,0.375706032
0.21397288,0.010530381,394.6908938,152.836583,0.853108671,0.493906934,0.786794088,0.103072083,0.938760454,0.387231085
0.221545717,0.010897105,391.0232671,155.8012549,0.853101875,0.498134988,0.786841618,0.10286908,0.927266354,0.398444972
0.229032251,0.011258146,387.4124612,158.5915226,0.853095183,0.50228452,0.786897656,0.102667448,0.91608896,0.409360923
0.236436608,0.011613666,383.8568592,161.216575,0.853088594,0.506357757,0.786961804,0.102467147,0.905214784,0.419991388
0.243762663,0.01196382,380.3549136,163.6850151,0.853082105,0.510356838,0.787033691,0.102268136,0.894631131,0.430348102
0.251014059,0.012308756,376.9051423,166.0049056,0.853075712,0.514283815,0.787112968,0.102070379,0.884326041,0.440442135
0.258194226,0.012648616,373.5061251,168.1838103,0.853069414,0.518140662,0.787199306,0.101873838,0.874288228,0.450283942
0.265306393,0.012983536,370.1564997,170.2288315,0.853063207,0.521929278,0.787292397,0.10167848,0.864507038,0.459883405
0.272353604,0.013313647,366.8549592,172.1466441,0.853057089,0.525651489,0.787391951,0.101484269,0.854972398,0.469249876
0.279338734,0.013639075,363.6002484,173.9435268,0.853051057,0.529309053,0.787497694,0.101291173,0.845674779,0.478392211
0.286264496,0.01395994,360.3911614,175.6253909,0.853045111,0.532903664,0.787609368,0.101099163,0.836605154,0.487318807
0.293133455,0.014276358,357.2265391,177.1978057,0.853039247,0.536436956,0.787726729,0.100908207,0.827754969,0.49603763
0.299948038,0.014588441,354.1052663,178.666023,0.853033463,0.539910501,0.787849547,0.100718276,0.819116108,0.504556243
0.306710541,0.014896295,351.0262701,180.0349982,0.853027757,0.54332582,0.787977605,0.100529342,0.810680864,0.512881837
0.31342314,0.015200025,347.9885171,181.3094112,0.853022128,0.546684379,0.788110697,0.10034138,0.802441915,0.521021247
0.3200879,0.01549973,344.991012,182.4936843,0.853016574,0.549987593,0.788248628,0.100154361,0.794392295,0.528980982
0.326706776,0.015795506,342.0327952,183.5919994,0.853011092,0.553236831,0.788391212,0.099968261,0.786525377,0.53676724
0.333281628,0.016087445,339.1129416,184.6083136,0.853005682,0.556433415,0.788538276,0.099783057,0.778834848,0.544385928
0.339814219,0.016375637,336.2305587,185.5463738,0.853000341,0.559578623,0.788689653,0.099598723,0.771314691,0.551842684
0.346306228,0.016660168,333.384785,186.40973,0.852995067,0.562673692,0.788845185,0.099415237,0.763959168,0.559142884
0.352759251,0.016941121,330.5747885,187.2017476,0.852989861,0.565719819,0.789004723,0.099232577,0.756762803,0.566291666
0.359174805,0.017218576,327.7997659,187.9256189,0.852984718,0.568718161,0.789168123,0.099050722,0.749720365,0.573293939
0.365554337,0.017492611,325.0589404,188.5843736,0.85297964,0.571669841,0.789335251,0.09886965,0.742826857,0.580154397
0.371899225,0.017763302,322.3515613,189.1808889,0.852974623,0.574575945,0.789505978,0.098689341,0.736077501,0.586877533
0.378210782,0.01803072,319.6769026,189.7178985,0.852969667,0.577437525,0.789680181,0.098509776,0.729467724,0.593467645
0.38449026,0.018294937,317.0342616,190.1980009,0.85296477,0.580255602,0.789857744,0.098330936,0.722993151,0.599928853
0.390738854,0.018556019,314.4229584,190.6236676,0.852959932,0.583031166,0.790038554,0.098152802,0.716649589,0.606265104
0.396957706,0.018814034,311.8423346,190.9972505,0.85295515,0.585765177,0.790222505,0.097975356,0.710433023,0.612480184
0.403147906,0.019069044,309.2917526,191.3209884,0.852950424,0.588458566,0.790409497,0.097798581,0.704339599,0.618577724
0.409310495,0.019321112,306.7705945,191.5970138,0.852945752,0.591112235,0.790599433,0.097622459,0.698365624,0.62456121
0.415446469,0.019570297,304.2782616,191.8273584,0.852941134,0.593727064,0.79079222,0.097446974,0.692507552,0.63043399
0.42155678,0.019816658,301.8141731,192.0139594,0.852936568,0.596303903,0.790987771,0.09727211,0.686761977,0.636199279
0.42764234,0.02006025,299.3777661,192.1586639,0.852932054,0.598843579,0.791186,0.097097852,0.681125627,0.64186017
0.433704021,0.020301129,296.9684943,192.2632344,0.852927589,0.601346898,0.791386828,0.096924183,0.675595359,0.647419636
0.439742659,0.020539347,294.5858277,192.3293532,0.852923174,0.603814639,0.791590177,0.09675109,0.670168149,0.652880536
0.445759055,0.020774956,292.2292516,192.3586264,0.852918808,0.606247563,0.791795974,0.096578557,0.664841089,0.658245625
0.451753976,0.021008006,289.8982663,192.3525884,0.852914489,0.608646407,0.792004148,0.09640657,0.659611378,0.663517553
