    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -501.00000000       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 1.0000000000        1.0000000000       -.25000000000E-04   0.37500000000E-05   0.37500000000E-05    0.0000000000        0.0000000000        0.0000000000       -505.60000000       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80097.847682        87726.214128       0.63997130000       -.12445537843        3.5000000000       -193.52298003        1.0850588282        0.0000000000       -.25000000000E-04   0.37500000000E-05   0.37500000000E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 11.000000000        11.000000000       -.27500000000E-03   0.38592621348E-04   0.38592621348E-04    0.0000000000        0.0000000000        0.0000000000       -534.24884052       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63968553562       -.12405032719        3.5000000000       -199.99497600        1.0856607345        1.0000000000       -.25000000000E-04   0.33387616265E-05   0.33387616265E-05    0.0000000000        0.0000000000        0.0000000000       -.79691828676E-04   0.92210544497E-05   0.92210544497E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 21.000000000        21.000000000       -.52500000000E-03   0.72742302431E-04   0.72742302431E-04    0.0000000000        0.0000000000        0.0000000000       -555.87022259       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63938758020       -.12326902439        3.5000000000       -210.54207068        1.0868217507        1.0000000000       -.25000000000E-04   0.34777380401E-05   0.34777380401E-05    0.0000000000        0.0000000000        0.0000000000       -.21275589092E-03   0.25830344869E-04   0.25830344869E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 31.000000000        31.000000000       -.77500000000E-03   0.10829564561E-03   0.10829564561E-03    0.0000000000        0.0000000000        0.0000000000       -576.85807977       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63909425823       -.12254066975        3.5000000000       -221.03847094        1.0879040859        1.0000000000       -.25000000000E-04   0.36191302414E-05   0.36191302414E-05    0.0000000000        0.0000000000        0.0000000000       -.34924627566E-03   0.44357245756E-04   0.44357245756E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 41.000000000        41.000000000       -.10250000000E-02   0.14527296431E-03   0.14527296431E-03    0.0000000000        0.0000000000        0.0000000000       -597.24780908       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63880563521       -.12186021837        3.5000000000       -231.47761260        1.0889152369        1.0000000000       -.25000000000E-04   0.37622566172E-05   0.37622566172E-05    0.0000000000        0.0000000000        0.0000000000       -.48897154344E-03   0.64793354631E-04   0.64793354631E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 51.000000000        51.000000000       -.12750000000E-02   0.18368835897E-03   0.18368835897E-03    0.0000000000        0.0000000000        0.0000000000       -617.07209225       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63852175637       -.12122321871        3.5000000000       -241.85406816        1.0898618186        1.0000000000       -.25000000000E-04   0.39065426300E-05   0.39065426300E-05    0.0000000000        0.0000000000        0.0000000000       -.63175494023E-03   0.87126258801E-04   0.87126258801E-04    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 61.000000000        61.000000000       -.15250000000E-02   0.22355069770E-03   0.22355069770E-03    0.0000000000        0.0000000000        0.0000000000       -636.36111610       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63824264983       -.12062573006        3.5000000000       -252.16336424        1.0907496869        1.0000000000       -.25000000000E-04   0.40515048046E-05   0.40515048046E-05    0.0000000000        0.0000000000        0.0000000000       -.77743320516E-03   0.11134033727E-03   0.11134033727E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 71.000000000        71.000000000       -.17750000000E-02   0.26486444947E-03   0.26486444947E-03    0.0000000000        0.0000000000        0.0000000000       -655.14278198       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63796832934       -.12006425304        3.5000000000       -262.40182956        1.0915840419        1.0000000000       -.25000000000E-04   0.41967369537E-05   0.41967369537E-05    0.0000000000        0.0000000000        0.0000000000       -.92585543805E-03   0.13741742398E-03   0.13741742398E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 81.000000000        81.000000000       -.20250000000E-02   0.30763039068E-03   0.30763039068E-03    0.0000000000        0.0000000000        0.0000000000       -673.44290160       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63769879657       -.11953567084        3.5000000000       -272.56646810        1.0923695152        1.0000000000       -.25000000000E-04   0.43418984088E-05   0.43418984088E-05    0.0000000000        0.0000000000        0.0000000000       -.10768820402E-02   0.16533735551E-03   0.16533735551E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 91.000000000        91.000000000       -.22750000000E-02   0.35184620392E-03   0.35184620392E-03    0.0000000000        0.0000000000        0.0000000000       -691.28537827       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63743404310       -.11903719927        3.5000000000       -282.65485329        1.0931102442        1.0000000000       -.25000000000E-04   0.44867040095E-05   0.44867040095E-05    0.0000000000        0.0000000000        0.0000000000       -.12303837343E-02   0.19507842286E-03   0.19507842286E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 101.00000000        101.00000000       -.25250000000E-02   0.39750698522E-03   0.39750698522E-03    0.0000000000        0.0000000000        0.0000000000       -708.69237335       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63717405202       -.11856634434        3.5000000000       -292.66503938        1.0938099347        1.0000000000       -.25000000000E-04   0.46309156140E-05   0.46309156140E-05    0.0000000000        0.0000000000        0.0000000000       -.13862406640E-02   0.22661774362E-03   0.22661774362E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 111.00000000        111.00000000       -.27750000000E-02   0.44460567373E-03   0.44460567373E-03    0.0000000000        0.0000000000        0.0000000000       -725.68445833       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63691879937       -.11812086598        3.5000000000       -302.59548728        1.0944719157        1.0000000000       -.25000000000E-04   0.47743349132E-05   0.47743349132E-05    0.0000000000        0.0000000000        0.0000000000       -.15443415715E-02   0.25993156825E-03   0.25993156825E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 121.00000000        121.00000000       -.30250000000E-02   0.49313341575E-03   0.49313341575E-03    0.0000000000        0.0000000000        0.0000000000       -742.28075324       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63666825533       -.11769874700        3.5000000000       -312.44500226        1.0950991847        1.0000000000       -.25000000000E-04   0.49167973532E-05   0.49167973532E-05    0.0000000000        0.0000000000        0.0000000000       -.17045830490E-02   0.29499553189E-03   0.29499553189E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 131.00000000        131.00000000       -.32750000000E-02   0.54307987332E-03   0.54307987332E-03    0.0000000000        0.0000000000        0.0000000000       -758.49905232       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63642238520       -.11729816639        3.5000000000       -322.21268147        1.0956944476        1.0000000000       -.25000000000E-04   0.50581669979E-05   0.50581669979E-05    0.0000000000        0.0000000000        0.0000000000       -.18668688591E-02   0.33178486099E-03   0.33178486099E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 141.00000000        141.00000000       -.35250000000E-02   0.59443348594E-03   0.59443348594E-03    0.0000000000        0.0000000000        0.0000000000       -774.35593790       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63618115030       -.11691747639        3.5000000000       -331.89786978        1.0962601530        1.0000000000       -.25000000000E-04   0.51983321853E-05   0.51983321853E-05    0.0000000000        0.0000000000        0.0000000000       -.20311093189E-02   0.37027454258E-03   0.37027454258E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 151.00000000        151.00000000       -.37750000000E-02   0.64718169255E-03   0.64718169255E-03    0.0000000000        0.0000000000        0.0000000000       -789.86688346       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63594450865       -.11655518256        3.5000000000       -341.50012242        1.0967985218        1.0000000000       -.25000000000E-04   0.53372018531E-05   0.53372018531E-05    0.0000000000        0.0000000000        0.0000000000       -.21972207423E-02   0.41043946270E-03   0.41043946270E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 161.00000000        161.00000000       -.40250000000E-02   0.70131112004E-03   0.70131112004E-03    0.0000000000        0.0000000000        0.0000000000       -805.04634701       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63571241562       -.11620992660        3.5000000000       -351.01917336        1.0973115723        1.0000000000       -.25000000000E-04   0.54747024283E-05   0.54747024283E-05    0.0000000000        0.0000000000        0.0000000000       -.23651249356E-02   0.45225451917E-03   0.45225451917E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 171.00000000        171.00000000       -.42750000000E-02   0.75680774324E-03   0.75680774324E-03    0.0000000000        0.0000000000        0.0000000000       -819.90785545       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63548482441       -.11588047135        3.5000000000       -360.45490846        1.0978011429        1.0000000000       -.25000000000E-04   0.56107751920E-05   0.56107751920E-05    0.0000000000        0.0000000000        0.0000000000       -.25347487404E-02   0.49569471310E-03   0.49569471310E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 181.00000000        181.00000000       -.45250000000E-02   0.81365702091E-03   0.81365702091E-03    0.0000000000        0.0000000000        0.0000000000       -834.46408099       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63526168658       -.11556568776        3.5000000000       -369.80734270        1.0982689114        1.0000000000       -.25000000000E-04   0.57453740438E-05   0.57453740438E-05    0.0000000000        0.0000000000        0.0000000000       -.27060236210E-02   0.54073522286E-03   0.54073522286E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
 191.00000000        191.00000000       -.47750000000E-02   0.87184401120E-03   0.87184401120E-03    0.0000000000        0.0000000000        0.0000000000       -848.72691038       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        80391.033591        88047.322504       0.63504295232       -.11526454344        3.5000000000       -379.07660073        1.0987164119        1.0000000000       -.25000000000E-04   0.58784636041E-05   0.58784636041E-05    0.0000000000        0.0000000000        0.0000000000       -.28788852899E-02   0.58735146348E-03   0.58735146348E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
