    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -501.00000000       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
0.17967113808E-05   0.17967113808E-05   -.16979264052E-04   0.25468896078E-05   0.25468896078E-05    0.0000000000        0.0000000000        0.0000000000       -505.86968485       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        124857.91809        136749.14838       0.64998038895       -.93774580611E-01    5.4554705380       -517.89025364        1.0450757960        0.0000000000       -9.4501900716        1.4175285107        1.4175285107        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.19763825188E-04   0.19763825188E-04   -.18677190457E-03   0.28015785686E-04   0.28015785686E-04    0.0000000000        0.0000000000        0.0000000000       -554.91263771       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        126466.72225        138511.17198       0.64978429127       -.93970678291E-01    5.4554705380       -517.89025364        1.0446054443        0.0000000000       -9.4501900716        1.4175285107        1.4175285107        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.37730938996E-04   0.37730938996E-04   -.35656454509E-03   0.53484681764E-04   0.53484681764E-04    0.0000000000        0.0000000000        0.0000000000       -604.58207380       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        128065.37687        140262.07942       0.64958821689       -.94166752666E-01    5.4554705380       -517.89025364        1.0441351486        0.0000000000       -9.4501900716        1.4175285107        1.4175285107        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.55698052804E-04   0.55698052804E-04   -.52635718561E-03   0.78953577842E-04   0.78953577842E-04    0.0000000000        0.0000000000        0.0000000000       -654.87407402       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        129654.13321        142002.14590       0.64939216582       -.94362803737E-01    5.4554705380       -517.89025364        1.0436649087        0.0000000000       -9.4501900716        1.4175285107        1.4175285107        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.73665166612E-04   0.73665166612E-04   -.69614982613E-03   0.10442247392E-03   0.10442247392E-03    0.0000000000        0.0000000000        0.0000000000       -705.78481546       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        131233.23186        143731.63489       0.64919613805       -.94558831508E-01    5.4554705380       -517.89025364        1.0431947247        0.0000000000       -9.4501900716        1.4175285107        1.4175285107        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.91632280419E-04   0.91632280419E-04   -.86594246665E-03   0.12989137000E-03   0.12989137000E-03    0.0000000000        0.0000000000        0.0000000000       -757.31056740       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        132802.90333        145450.79889       0.64900013358       -.94754835982E-01    5.4554705380       -517.89025364        1.0427245967        0.0000000000       -9.4501900716        1.4175285107        1.4175285107        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.10959939423E-03   0.10959939423E-03   -.10357351072E-02   0.15536026608E-03   0.15536026608E-03    0.0000000000        0.0000000000        0.0000000000       -809.44768745       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        134363.36871        147159.88002       0.64880415240       -.94950817160E-01    5.4554705380       -517.89025364        1.0422545245        0.0000000000       -9.4501900716        1.4175285107        1.4175285107        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.12756650803E-03   0.12756650803E-03   -.12055277477E-02   0.18082916215E-03   0.18082916215E-03    0.0000000000        0.0000000000        0.0000000000       -862.19261799       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        135914.84015        148859.11064       0.64860819451       -.95146775047E-01    5.4554705380       -517.89025364        1.0417845081        0.0000000000       -9.4501900716        1.4175285107        1.4175285107        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
0.14553362184E-03   0.14553362184E-03   -.13753203882E-02   0.20629805823E-03   0.20629805823E-03    0.0000000000        0.0000000000        0.0000000000       -915.54188275       -501.00000000       -501.00000000        0.0000000000        0.0000000000        0.0000000000        137457.52140        150548.71392       0.64841225992       -.95342709644E-01    5.4554705380       -517.89025364        1.0413145476        0.0000000000       -9.4501900716        1.4175285107        1.4175285107        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -193.52298003       
